album.id,album.title,album.company
435830,Un Titre de Toune,Backstreet Records
495734,Live Inferno,Newbury Comics
664484,Vendredi 13 - 1981,Posse Up Entertainment
112851,Unconditional Love,Triple Vision Record Distribution
200689,The Very Best Of,SoBe Entertainment
682725,Country Lovers. Vol. 3,Ektaar Music Ltd
287804,Affirmation,PIAS UK Distribution
220917,Lullabies To Paralyze,JYP Entertainment
629785,It's War Again,Anjunabeats
11305,The Singles,Scranton Button Company
4967,What You Thought You Heard,MGM Distribution
325335,Daddy Don't Disco,Corporation
82932,15 Exitos Vol. 2 Flor Silvestre,Shure
401583,"Le top du pA""re NAPel",EMI
8552,Malpractice,Halaqah Media
217058,20 Suosikkia / Rilluttele yAP,Mushroom Records
489673,The Fabulous Eddie Cantor,MGM Distribution
475992,Grim Prospects Remixes - Grim Prospects Will Never End,Ministry of Sound
495041,The Incredible Kai Winding Trombones,CAPP Records
225610,Staying on the Watch,Shure
473710,Openbare Weg,Johnny&Associates
710902,Tip World Singles 2000,ARC Music
341940,Praise Him...Live!,Broccoli
766444,Spontanous Combustion,Aardvark Records
432406,From All Sides,Live Music Records
546663,Maurice Chevalier  The Essential Collection Vol 1,Kung Fu Records
548374,Dave Pearce Best of the Dance Years 1988 - 1992,Instant Live
704183,The Equinox,BTM Music Group Inc.
307618,Timeless,One Records
784530,Feel Good All Over: Anthology 1970-1976,S.M. Entertainment
534470,13th And Pine,Gold Typhoon
599659,Call Tyrone,Shure
372122,Final Vinyl,Diagnosis… DON'T! reCoRdings
577023,Fifteen Poems By Dylan Thomas,Sony Music Australia
572855,The Early Tapes 1975-1976,Lone Star Music
523481,Legacy,Posse Up Entertainment
219943,Louie Bluie Film Soundtrack,5pb.
266932,Donny Hathaway,Cris Morena Group
514801,Canciones De Amor De Miguel Gallardo,JamGlue
421962,Irfan_ le hA(c)ros,Concord Music Group
502384,What up Detroit,AMCR
254792,Peterbilt Angel,Backstreet Records
138320,Homemade Ice-Cream,DMX
722546,White Feather,Room 10 Records
46647,Can We Go Home Now,Istanbul Plak
547104,In North Carolina,Extraphone
683402,Wintertime,Sony BMG
128198,Electropop,Instant Live
818344,DUMB: 4-track cassette recordings (1987),Cris Morena Group
762520,The Hit List,ARC Music
293668,Underneath,Musketeer Records
117983,99 Monkeys,Menart Records
6949,Nothing Else Matters,Go! Discs
735425,A Tribute to The American Horse,Pony Canyon
158078,Mis Momentos,Sony Music Entertainmet (Japan) Inc.
199953,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,Aquaplus
329135,In this Life,MCA Inc.
276924,Best Of Maxi Priest,Electronic Arts Recordings
193554,Signify (Special Edition),Saban Capital Group
409813,Bravo Alayki Rare recording,Anjunabeats
440990,In Your Honor,Sony/ATV Music Publishing
302176,Essential R&B Hit Selection,Newbury Comics
124344,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,Oricon
762519,Talk To Your Daughter,Oricon
177029,American Songbook - Bacharach,Corporation
517150,Nha VitA3ria,BTM Music Group Inc.
512234,Gira Me VerA!s Volver,Room 10 Records
517488,Scarcity,Movic
776019,Fire,Posse Up Entertainment
696947,Hanging On (Premiere Performance Plus Track),Bad Boy Records
477268,Grim Prospects Remixes - Prospects Are Getting Grimmer,Electronic Arts Recordings
281713,Snowflakes,Shure
492999,The Out Sound From Way In!,Movic
120640,El Fuego De Dentro,JYP Entertainment
789426,No Control,ARC Music
785362,Pentagrammaton,Suzy
298921,Pianissimo,Go! Discs
162273,Milan Milan,Extraphone
605167,Auralux Reggae Showcase,Sony Music Entertainmet (Japan) Inc.
474726,Heaven,Kung Fu Records
364642,Up Above My Head,Triple Vision Record Distribution
307651,Pearl Jam,Harthouse
614890,Take A Look,GMA Artist Center
538734,Crack The Skye,ECA Records
767591,Behind The Blue,Sumthing Distribution
554760,Matumago X Press,Broccoli
528941,The Best of DJ Quik - Da Finale,Gold Typhoon
293622,RCA Country Legends,Go! Discs
472444,LOOK (Original Motion Picture Soundtrack),Lone Star Music
763206,Relax,Definitive Jux
239244,Joy In Our Hearts - The Gospel Side Of The Jordanaires,MCA Inc.
329967,Enjoy!,Talent Quest
71267,A Nite On The Strip - Live,Ektaar Music Ltd
282150,Boo-Tay,Magnatune
46723,The Best Of Shelley Fabares [Digital Version],Go! Discs
575880,In London_ In Love,Boosey&Hawkes
539974,Of My Times,GRGDN
558289,Venus Envy,Musketeer Records
275722,Freddy's Favorites: The Best of A Nightmare On Elm Street,Go! Discs
179267,Bitter Suites to Succubi,Sony/ATV Music Publishing
517634,Manila Nights,Corporation
686750,Snapshot,Menart Records
766687,End Of The Road - Single,J Storm
545429,7 Miles,PIAS Entertainment Group
789959,Os soA+-os que volven,Corporation
259476,Leland Martin,Saban Capital Group
534031,For Screening Purposes Only,Sony BMG
23134,Endless,Harthouse
220650,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,Spectra Records
515188,Break The Night,Harthouse
237520,Texas Songster,Movic
64434,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,Microphone Records
512027,Seu Olhar NAPSo Mente,Talent Quest
737947,Never Be Scared / Don't Be A Hero,Ministry of Sound
495799,S'Wonderful Movie'n Bossa,Almighty Records
245279,Time and Space,Great Big Island
264857,Death ... Is just the beginning Vol.4,GoConnect
23178,Live In Tokyo,Jugodisk
52141,Dark Days In Paradise,MGM Distribution
755756,Une petite pause,PlayNetwork
53826,The B52's,ARC Music
215830,Moments,Kung Fu Records
754188,Punk International,GRGDN
279702,Forever,Koch Entertainment
409251,Breaks_ Beats & Blondes,Musketeer Records
646806,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation,MGM Distribution
603055,Peace At Last - EP,MCA Inc.
435050,Alright_ Still (Deluxe),DSP Media
340310,Light Flight - The Anthology,Instant Live
752185,This DJ,T-Series
667517,Zlatni hitovi '90 1,Backstreet Records
150501,Miles To Miles,Lone Star Music
105115,RoadKillOvercoat,J Storm
142192,Addressing The Nation With The Blues,Almighty Records
296995,Lagrimas Negras,Sony BMG
146503,Surprise,Thorn EMI
223472,Apogee,S.M. Entertainment
457879,Bone To Pick,Suzy
816840,Strictly Trucking,Shure
319844,Music Of The Brazilian Masters,Sony Music Australia
333103,To Live Alone,DSP Media
775316,PeeBoy EP,JamGlue
599989,The Way West,Cris Morena Group
80339,Suburban,Electronic Arts Recordings
624887,Hitzone 49,Gold Typhoon
726003,Il meglio di Gloriana,Pony Canyon
811387,Za Solntsem Vsled,Boosey&Hawkes
460988,Time Will Tell,Saban Capital Group
590998,4 Day Tornado,Disc Makers
509285,Ao Vivo,Sony BMG
2016,The Altogether,Sumthing Distribution
74586,Strength & Loyalty,Entertainment One
312976,Kivenkantaja,S.M. Entertainment
160605,Straight Outta Compton,Electronic Arts Recordings
282493,Live at the Grand Olympic Auditorium,Sony Music Entertainment
161810,Take One More Chance With Me,J Storm
559004,Revolutions Per Minute,BTM Music Group Inc.
681616,Psycho Drama,Movic
405643,Issues,Lone Star Music
152247,Britten: Orchestral Works,Great Big Island
644965,I Need You Now,Definitive Jux
64098,Aliens - The Deluxe Edition,Suzy
570488,Mind Control,Halaqah Media
223563,Call of the Mastodon,Extraphone
785416,Live From Dublin,5pb.
53563,Window In The Skies,Johnny&Associates
508052,Nuestra TradiciA3n,Electronic Arts Recordings
282711,Untitled,Sony/ATV Music Publishing
443790,Bahamian Songs,SoBe Entertainment
708314,A Jerome Kern Songbook,CJ E&M Music Performance Divison
27997,Extreme,Mushroom Records
263915,L'enquAate corse - bof,PIAS Entertainment Group
585535,Tales From The Sick,AMCR
428274,Jerry Butler Selected Hits Vol. 4,Istanbul Plak
150354,L'essentiel 2003,Sony BMG
556140,No Regrets,Diagnosis… DON'T! reCoRdings
314,Sleeping With Ghosts,Econore
157419,Miscelanea,Movic
448373,500,GoConnect
146292,Virtuous Woman,Skeleton Crew
509726,De Musica Ligera,GMA Artist Center
467695,My Soul Speaks,Posse Up Entertainment
287672,Candy From A Stranger,Behringer
662561,Music For Christmas Lovers,Sony Music Entertainment
206882,Exclusively,SoBe Entertainment
493266,Country Masters Vol 1,Ministry of Sound
577462,Ultimate Happy Hardcore 3,CAPP Records
611258,Dirty Harriet,Definitive Jux
293884,Run DMC,Muzak
47335,Love That Bert Kaempfert,Extraphone
692436,Please Help Me I'm Fallin',Shure
783225,Pink Chokolate!,Behringer
386120,Made In Hong Kong (And In Various Other Places),Newbury Comics
63865,Blue Velvet,Scranton Button Company
582102,Windsor Strings,Spectra Records
165664,Samambaia,Telstar Records
762292,Disconnected,Econore
128122,Discovering The Waterfront,Corporation
532741,Myth Takes,Ektaar Music Ltd
530802,The Last Living American Marxists,Johnny&Associates
327425,Greatest Hits,Room 10 Records
171820,Coda,Definitive Jux
382970,The Pink & The Lily,EMI Music Japan
663608,20 Greatest Hits,Sony/ATV Music Publishing
216819,Coastal,Kung Fu Records
281210,Once More,Posse Up Entertainment
495430,Harry / Silent Mother Nature,Def Jam Recordings
99987,Hai Shava,Koch Entertainment
662558,Get Ready To Roll,T-Series
375715,Love From&The Rat Pack,PlayNetwork
380099,STRATA,Muzak
60518,Love Among The Young,CAPP Records
345570,Ministry of Sound Presents 100,Aardvark Records
441344,Cinema Do Mar,Koch Entertainment
287318,Essential Igor Stravinsky,Oricon
285631,Echoes,Talent Quest
150516,Talento,Nuwax Records
332859,Dreamboats & Petticoats 2,Diskoton
79227,Voices of Angles - Christmas Favorites from the American Boychoir,Hed Kandi
555209,Cream Trance Anthems Ibiza 2009,Corporation
512607,Northern Downpour,Thorn EMI
331289,Love Is A Sometimes Thing,Sony BMG
552899,Guidum,Concord Music Group
34505,Disque PathA(c),Broccoli
355081,Oh My God,Posse Up Entertainment
51405,A Classic Christmas,Sony Music Entertainmet (Japan) Inc.
711137,Road House,Oricon
291030,Thisia Live,MGM Distribution
160060,Bebop Moptop,Musketeer Records
569125,Bach: Organ Works Vol.2,5pb.
816238,Dance Tribute to Lady Gaga Vs Black Eyed Peas,DSP Media
650697,EQUALIZE,GMA Artist Center
570453,King Of Myself,Live Music Records
296873,Seasons Of The Soul,Aquaplus
163436,Realive Tour 2002 -Odoranya Son Son- in Tokyo,Telstar Records
424081,Steady On,Microphone Records
755801,Music Cafe,Skeleton Crew
249138,The Building,ARC Music
307477,Just Want You To Know,T-Series
627950,Live! At The Royal Albert Hall,Scranton Button Company
298719,At Last... The Duets Album,Entertainment One
281563,Daktilika Apotipomata,Aardvark Records
671475,A Christian Christmas Celebration (Gift of Love),ECA Records
251703,Leave Home,SoBe Entertainment
274876,Salt In NYC,Movic
282933,Shakespeare in Love - Music from the Miramax Motion Picture,Sony/ATV Music Publishing
338931,Oh Mein Papa,Menart Records
488293,Simply Glad,Sony BMG
173863,Trial and Error,BTM Music Group Inc.
300163,Rumbas Sin Fronte Ras,Cris Morena Group
102907,Wild Rose,Suzy
464781,Kutt Free,GoConnect
546323,Ten Tonne EP,Microphone Records
542173,Wildflowers,AMCR
293755,Puccini: Highlights From La Boheme,Bang
555533,Mucho Pucho,MGM Distribution
339485,Get Your Head Stuck On Your Neck,Applied Media Technologies Corporation
615284,American Legend,PIAS Entertainment Group
769648,Sonneries tyroliennes,Bang
772527,Northern Blue,MGM Distribution
92936,. . . Till Then,Ministry of Sound
272703,Platinum Line Renaud,Concord Music Group
56617,Live At Fillmore West [w/bonus tracks],Definitive Jux
282914,Whaler,CJ E&M Music Performance Divison
186934,Lupe Fiasco's The Cool,BTM Music Group Inc.
288454,Tears,Microphone Records
190811,The Bucket List,Halaqah Media
559989,Nothing To Remember,Newbury Comics
1818,Love Angel Music Baby,CJ E&M Music Performance Divison
219272,Major Impacts,MCA Inc.
560818,Harsh Realities,Harthouse
715197,Gypsy (Original Broadway Cast),Jugodisk
395333,New Grass Revival With Leon Russell Live,PGP-RTB
138157,Live In The Lou,Concord Music Group
15327,Lyricist Lounge Vol. 1,Ultra Music
296872,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne,Menart Records
307149,Love Songs,Live Music Records
386702,Joue Legrand & Becaud,Applied Media Technologies Corporation
658324,Rattlesnake!,GMA Artist Center
463518,Chasing Monsters,PGP-RTB
323381,That Which Remains,Kung Fu Records
708200,Ain't No Love (Ain't No Use),Skeleton Crew
212353,The Faithless,PIAS UK Distribution
48411,Stop The Clocks,One Records
748222,Santa Claus Is Coming To Town,Menart Records
252341,Something Deeper Than These Changes,ARC Music
588630,Ocean,Oricon
691036,Number Ones,Muzak
665347,So Wrong_ It's Right,Go! Discs
678270,Songs For A Wedding - 18 Songs For That Special Day,Electronic Arts Recordings
463706,French Touch,Anjunabeats
282385,Passion,Instant Live
597320,Round Every Corner,Electronic Arts Recordings
104062,The Definitive Collection,Microphone Records
647842,The Camp Is Back,Definitive Jux
420785,High Kicks,Anjunabeats
138009,The Hinderers,Spectra Records
483228,Extasick and This Dirty Musick,Pony Canyon
516641,The Official Bootleg Box Set,Sumthing Distribution
123825,The Date - Dated Girls Remixes,Corporation
611925,Pat Travers,Istanbul Plak
369886,CHRISTMAS DANCE SENSATION,Triple Vision Record Distribution
601992,Jetzt geht's ab - JubilA$?ums-Edition,SoBe Entertainment
367900,The Blue Noise Session,Talent Quest
124147,Hustlenomics,Lone Star Music
452242,"Le MystA""re de la Chambre Jaune (Bande Originale du Film)",GMA Artist Center
508063,10 De ColecciA3n,Def Jam Recordings
222208,To Grover_ With Love,Live Music Records
126280,Across the nation,Def Jam Recordings
204315,Live On St. Patrick's Day,CJ E&M Music Performance Divison
244757,Secrets & Lies,DMX
152147,The Melting Moon,Ektaar Music Ltd
437901,The Legendary Leonard Kwan : The Complete Early Recordings,Electronic Arts Recordings
235400,In This Place,Gold Typhoon
623410,13 ans de caravaning,Boosey&Hawkes
380552,La Charanga Soy Yo,Sumthing Distribution
263855,Hot Rhythm & Cool Blues,Sony Music Entertainmet (Japan) Inc.
389989,The Poison,Instant Live
273745,The Hit Factory,PGP-RTB
29321,Ultra-Lounge_ Vol. 17: Bongoland,PGP-RTB
627807,Suddenly,Newbury Comics
284078,A Musical Massacre (Explicit),Jugodisk
350343,Joyful,Applied Media Technologies Corporation
814253,Ultraviolet,Entertainment One
735109,Gyldne Ayeblikk,Ektaar Music Ltd
23176,Compact Disc,Go! Discs
216087,This Is Noise,PIAS UK Distribution
743543,Bien Sobre Mal Vol. 3: Black Rain Riddim,Boosey&Hawkes
645036,Original Album Classics,MGM Distribution
594771,Radio Hits,Random Disc Records
540711,The Flowing Waters,Bang
555131,One Sided Story,Concord Music Group
619435,Jazz for a Summer Night,Instant Live
639500,Mr. Cool,Corporation
519747,Humboldt Beginnings,Cris Morena Group
65820,BalkanBeats Volume 2,Skeleton Crew
133,Take The Box,Scranton Button Company
679314,Tall_ Dark & Chicano,Sony Music Entertainment
654066,"Vendredi m'obsA""de",Corporation
436788,Zetrons,MCA Inc.
480173,Roots And Culture Volume 3,5pb.
64547,The Final Word,MGM Distribution
347283,Victory Songs,EMI Music Japan
377447,Zouk Sun-Hit MA(c)gamix,Saban Capital Group
279813,Labcabincalifornia,Def Jam Recordings
304190,YstA$?vA$?n Laulu - 25 Unohtumatonta Laulua,AMCR
292356,Faso Latido,Corporation
125805,Nuclear Blast Showdown 2006,Almighty Records
435836,Ensorsoleil,Jugodisk
400543,Belles De Zouk,Scranton Button Company
299146,Mi Reflejo,Boosey&Hawkes
208685,Parody Of Life,ECA Records
310421,Eighteen Visions,Magnatune
34603,The Baby Huey Story: The Living Legend,Hed Kandi
588884,Dark And Dreary,PIAS Entertainment Group
722045,American Dread,Kung Fu Records
167972,All Things Must Pass,Suzy
15588,The Green Album,Diskoton
662089,Greatest Hits,Pony Canyon
285677,Boots Randolph's Yakety Sax!,Microphone Records
328589,Harmony And Dissidence,Instant Live
60339,The Best of Bobbie Gentry: The Capitol Years,PIAS UK Distribution
537517,The Best Of (featuring Johnny Guitar Williamson),Shure
161790,Jukebox Hits 1946-1954,Mushroom Records
156038,B.A.D. (Be A Devil),PIAS UK Distribution
113380,lo mejor de  Luar na Lubre,Spectra Records
712458,Divergent,Newbury Comics
230945,Soy Como Soy,JamGlue
28356,All In The Mind,Random Disc Records
36072,Zenyatta Mondatta,Aardvark Records
627736,The Simple Life: Campfire Songs,ARC Music
180481,Senseless: Live At Cantone's_ 1982,Koch Entertainment
372927,Live In Switzerland,S.M. Entertainment
195122,Don't Sleep,5pb.
721801,Direkt Aus Dem Knast (Du Spast),Cris Morena Group
492520,Foogy,Lone Star Music
221012,Cormorant,Broccoli
141769,Supremacy,BTM Music Group Inc.
286870,Ghost Ship,CAPP Records
555552,Release,Go! Discs
22096,#8,ARC Music
484857,The Truth,Ministry of Sound
315023,Sex On Fire,Behringer
756949,La Leyenda,Talent Quest
151246,Chain Letter,Menart Records
72103,Rubikon,Microphone Records
557522,Touchpaper,Spectra Records
156712,Perro Malagradecido,Talent Quest
150242,Everything Went Black,J Storm
83310,Asi,MGM Distribution
321603,Angels & Outlaws,Great Big Island
209913,Best of 1991-2001 Hidden Harvest,Ultra Music
180508,Satanic Grimoire,Koch Entertainment
57678,The Young Mods' Forgotten Story,PGP-RTB
391899,Of June,Istanbul Plak
384736,The Original Memphis Blues Brothers,EMI
114406,Das Album zum Film,Backstreet Records
346332,Prayer,Skeleton Crew
34575,See,Disc Makers
174635,Blind Blake Vol. 1 (1926 - 1927),Pony Canyon
542178,You're My World,Corporation
303880,Grandes Exitos: Complicidad,Sony/ATV Music Publishing
24765,10 Aniversario,Broccoli
34130,Sangre De Mi Alma,PGP-RTB
52709,Mimikra,Muzak
734716,Battle Metal,Movic
428735,Ketukuba,Multimedia Record Corporation
747610,Only Do for Love,Halaqah Media
448675,Primal Elegance One,Lone Star Music
211838,Perdido En El Espacio,Posse Up Entertainment
457415,thahandclaspinduction,Telstar Records
667999,Leviathans Creations,PIAS UK Distribution
199793,Saturday Night Rag 1934-36 Volume 1,Spectra Records
681223,A Somber Wind From A Distant Shore,Johnny&Associates
688578,Share the Laughter,PlayNetwork
74803,Justin In Love With HK Philharmonic Concert Live,Concord Music Group
301389,Rosas Rojas,Ektaar Music Ltd
391799,Antonis Remos Live,Lone Star Music
735410,The Golden Age of Light Music: Orchestral Gems in Stereo,Behringer
529798,The Ken Burns Effect,Kung Fu Records
609943,Roberto Devereux,Live Music Records
439614,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),Def Jam Recordings
600581,Feel The Fire,Muzak
729676,Gotta Walk With da King,Behringer
19265,Judgement Days,GoConnect
819440,Andy Russell. Themes Only For Lovers,Backstreet Records
371,Dude Ranch,GMA Artist Center
205255,Unforgettable,Istanbul Plak
370175,Requiem EP,Mushroom Records
688685,Live In Detroit (Expanded Edition),Thorn EMI
665478,TheBurbsLife,Jugodisk
237545,Programmed to Consume,Shure
142115,Turbocharger,CJ E&M Music Performance Divison
421999,Keep cool,Triple Vision Record Distribution
226854,Gettin' My Groove Back,GRGDN
475523,Hit Club_ The Hits 1949,Random Disc Records
65220,Patchwork,Pony Canyon
747512,House Of Blue Lights,Sony Music Entertainmet (Japan) Inc.
114398,Let's Make Up And Be Friendly,Live Music Records
769962,A Night In Monte-Carlo (Live),Great Big Island
130556,Into A Swan,Corporation
221445,October,Room 10 Records
538812,G.I. JOE,Suzy
324688,Chicago Blues Festival 1974 With Jimmy Dawkins,J Storm
495943,Hold That Train,Saban Capital Group
154936,Postrof,Suzy
584767,Movie Stars (CD 2),Definitive Jux
237735,Purpurina 37,Sony BMG
522008,Sinners International,Harthouse
323408,Lazy Afternoon,Def Jam Recordings
200284,Don't Label Us,Random Disc Records
138100,Wake Me Up When September Ends,CAPP Records
319515,Outta Babylon & I Love You,Gold Typhoon
53068,A Classic Soul Christmas,Disc Makers
143653,Curvy Cola Bottle Body,ECA Records
662932,Amar y Querer (Homenaje a Las Grandes Canciones),Instant Live
398259,SKOLD vs. KMFDM,Johnny&Associates
467245,Heart It Races Remixes,Koch Entertainment
805384,The Best of the Wailing Souls,Aquaplus
226149,Heaven & Earth,Triple Vision Record Distribution
583091,Black Gives Way To Blue,Entertainment One
24673,The Capitol Years,Diskoton
277866,Massive Reggae,Sony Music Australia
630606,9th Wonder Presents Dream Merchant Volume 1,PGP-RTB
192864,Grown Up Wrong,Aardvark Records
138006,The Best Of Ill NiA+-o,MGM Distribution
344546,Massacre Musical,Almighty Records
618681,Blue Record,Broccoli
8497,Grand Champ,T-Series
257800,Cactuses Come In Flocks,Definitive Jux
385924,Fuego Caliente,Oricon
227007,Back To The Future,Pony Canyon
609165,Best of Zydeco,Electronic Arts Recordings
340,Black Market Music,EMI Music Japan
311757,Some Kind Of Monster,Sony/ATV Music Publishing
509321,Adios Sui Generis Vol.I,Talent Quest
77293,Aviation,JYP Entertainment
179290,Don't Look Back,Triple Vision Record Distribution
481769,Eternity's Sunrise,Spectra Records
648915,Da Nastier da Better,Room 10 Records
757061,Freddie And The Trojan Horse,Thorn EMI
565273,Dr Feelgood Deluxe Edition,GMA Artist Center
278622,Innovation The Album Mixed By Shy FX,Suzy
25826,Becstasy,ECA Records
308612,Suitcase,Random Disc Records
500301,Ultrakurzwelle,BTM Music Group Inc.
762451,60's Girl Groups,GMA Artist Center
447727,Instrumental AcordeA3n (28 Hits in Accordion),Great Big Island
275315,Live From Deep In The Heart Of Texas,DSP Media
688815,Matters Of The Heart,J Storm
653224,Greatest Hits,Entertainment One
656513,So Far From Real,PIAS Entertainment Group
632827,Buzz Buzz,Movic
329922,DJ Slugo Juke Chronicles Vol. 10,Entertainment One
60332,Without Zero,AMCR
292662,Old Friends Live On Stage,J Storm
148848,Love Me Now (featuring Wyclef) (International Only),Boosey&Hawkes
409364,Blue Moon,Newbury Comics
262136,My Favorite Place,Sony BMG
553397,A New Kind of Army,Almighty Records
288774,Rescue You,ECA Records
762361,Naked Songs Live And Acoustic,Muzak
604938,San Francisco Love House Volume 2,Sony Music Entertainmet (Japan) Inc.
174343,Labor Days,Bang
462410,Down The Line,EMI
386075,Serie Tradicional - Mi AcordeA3n Bohemio  CD 1,Sumthing Distribution
11462,Suit Yourself,Disc Makers
715143,Before & After,Sumthing Distribution
496543,Eleanor Put Your Boots On,Concord Music Group
776987,Coming On Strong,Newbury Comics
388945,Classic Latino,Triple Vision Record Distribution
243895,Coal,Muzak
282034,James Taylor Live,Microphone Records
460246,Drama_ Spiel und Blut (Das Archiv Teil 1),PlayNetwork
363561,Performing this week... At Ronnie Scotts,EMI Music Japan
739802,Italo Dance Collection_ Vol. 1,J Storm
8768,Hex,T-Series
205285,The Beat Goes On,Cris Morena Group
437552,The Legendary Ray Kane : Old Slack Key,One Records
724004,A Tribute To David Bowie Vol 1,Sony Music Entertainment
426506,My Life Would Suck Without You,PGP-RTB
681552,In A Word,Broccoli
683115,Fous les canards,Sony/ATV Music Publishing
152856,Urban Blues Singing Legend 1949-1951,JYP Entertainment
345598,Fantasia,Extraphone
236463,Angelic Embrace,Telstar Records
609931,The Best of Donnie Brooks,S.M. Entertainment
105923,36 Grad Remixe,GoConnect
421820,Peace in a time of war,GoConnect
542748,Whatever's Cool With Me,EMI Music Japan
541927,Two Warriors,Almighty Records
499460,Something Beautiful,Def Jam Recordings
59460,Inertia,Johnny&Associates
530926,Natsukashii,Live Music Records
131443,Lauluja rakkaudesta,JYP Entertainment
757812,Paris Jazz Cafe Vol.3,PGP-RTB
580860,Hits Of The 80's,HITT Production
253452,Suicide Sessions / Anti-Social Personality Disorder: Live,PGP-RTB
495309,Instrumentals and Lost Tracks,The Visual Dimensions Music
2210,Break Like The Wind,5pb.
235138,French,Muzak
282100,The Bass-ic Collection,Telstar Records
149697,Devorador De Corazones,Sony Music Australia
237875,Rad Jackson,The Visual Dimensions Music
789605,Love it to Life,Sony Music Entertainmet (Japan) Inc.
130,Here Without You,Sony/ATV Music Publishing
391911,Ma Rainey,Econore
531888,Back From The Dead,One Records
546441,Welcome to my World,Talent Quest
722229,The Lost Souls Bonus EP,Triple Vision Record Distribution
55934,Joao Voz E Violato,Bang
310248,BTNHRESURRECTION,PIAS UK Distribution
681735,Blown Away,Telstar Records
221677,Adelante,Suzy
661309,Live At Tonic,Harthouse
460926,Garden Of Joy,ECA Records
576541,Utopia,Sony/ATV Music Publishing
47304,Ill Na Na,DSP Media
